Bedroom,Bathroom,Floor,Parking,Property Face,Build Year(In B.S.),Area Covered(Sq.Feet),Posted Date(Moth Ago),Price(NRS.),District,Location,Road Distance(Feet),Type of Road
4,4,2.5,2,South West,2074.0,1925.15,2,41500000,Kathmandu,Sitapaila,20,Blacktopped
2,1,1.5,2,South West,2076.0,1369.0,48,15500000,Kathmandu,Kadaghari,20,Gravelled
5,4,3.0,3,East,,1026.75,1,25500000,Lalitpur,Imadol,13,
6,6,2.5,1,West,2080.0,1540.12,1,38000000,Kathmandu,Budhanilkantha,13,Concrete
4,4,3.0,1,West,2080.0,1711.25,1,40000000,Kathmandu,Budhanilkantha,30,Blacktopped
3,4,2.5,2,West,2074.0,1262.04,2,34100000,Kathmandu,Sitapaila,20,Blacktopped
4,2,2.0,1,West,,1925.15,36,25500000,Kathmandu,Syuchatar,0,
4,5,2.5,2,South West,2080.0,2823.56,2,67600000,Kathmandu,Budhanilkantha,20,Blacktopped
3,4,3.5,1,North,2078.0,2203.23,12,53600000,Kathmandu,Sitapaila,20,Paved
5,4,2.5,2,East,2077.0,1026.75,36,19500000,Lalitpur,Imadol,12,Gravelled
6,3,2.5,1,West,2080.0,1540.12,1,38500000,Kathmandu,Kapan,12,Concrete
5,4,2.5,1,East,2080.0,1197.87,2,29500000,Kathmandu,Kapan,13,Concrete
5,4,3.0,0,East,,2566.87,48,30000000,Bhaktapur,Kausaltar,15,Blacktopped
4,4,2.5,1,East,,1454.56,12,35000000,Kathmandu,Baniyatar,16,Blacktopped
4,3,3.0,1,South,,1369.0,8,38000000,Kathmandu,Budhanilkantha,16,Blacktopped
5,6,2.5,1,West,,1197.87,1,50000000,Kathmandu,Ravi Bhawan,32,Blacktopped
7,5,2.0,3,East,,1625.68,1,46000000,Kathmandu,Budhanilkantha,14,Gravelled
6,5,3.0,3,East,2076.0,1369.0,48,38700000,Kathmandu,Baneshwor,15,Blacktopped
4,4,3.0,3,East,,1197.87,1,41000000,Kathmandu,Soltimode,0,
3,3,3.0,1,South,,855.62,8,22500000,Kathmandu,Sitapaila,10,Gravelled
6,5,4.0,0,South West,,2139.06,48,37500000,Lalitpur,Khumaltar,13,
3,3,2.5,2,West,2074.0,1369.0,2,34650000,Kathmandu,Sitapaila,20,Blacktopped
6,5,3.0,2,North,2078.0,1369.0,24,37500000,Kathmandu,Budhanilkantha,13,Gravelled
4,4,2.5,2,West,2074.0,1197.87,2,34650000,Kathmandu,Sitapaila,20,Blacktopped
5,5,3.0,2,South,,1090.92,1,31500000,Lalitpur,Imadol,13,Paved
6,4,3.0,1,South West,,1711.25,1,37000000,Kathmandu,Kapan,20,Blacktopped
6,3,3.0,1,East,2076.0,1197.87,48,22500000,Lalitpur,Tikathali,12,Blacktopped
5,3,2.5,1,West,2077.0,1026.75,36,20000000,Lalitpur,Imadol,13,Gravelled
4,3,2.5,1,South,2076.0,1026.75,48,19000000,Lalitpur,Imadol,13,Gravelled
5,3,2.5,1,East,2076.0,1026.75,48,16000000,Kathmandu,Tinthana,13,Blacktopped
7,3,2.5,2,West,2076.0,1240.65,48,35000000,Kathmandu,Sankhamul,12,Paved
5,4,2.5,0,East,2080.0,1625.68,1,55000000,Kathmandu,Chhauni,10,Gravelled
3,9,3.0,0,North East,2076.0,941.18,48,13500000,Lalitpur,Imadol,10,Soil Stabilized
9,7,5.0,0,North,,1133.7,24,35000000,Kathmandu,Baghbazaar,10,Blacktopped
6,5,4.0,3,North East,2079.0,1711.25,12,43500000,Kathmandu,Budhanilkantha,13,Blacktopped
4,4,3.0,2,East,2078.0,1197.87,24,22500000,Lalitpur,Imadol,13,Soil Stabilized
6,5,3.0,3,West,2076.0,3058.85,36,57500000,Lalitpur,Nakhipot,20,Blacktopped
4,4,2.5,1,East,,1411.78,1,39000000,Kathmandu,Budhanilkantha,20,Blacktopped
5,4,2.5,5,South,,5133.75,9,115000000,Kathmandu,Sanobharyang,20,Blacktopped
5,3,2.5,1,West,2077.0,1112.31,36,25000000,Lalitpur,Imadol,20,Gravelled
5,3,3.0,2,North,2066.0,1155.09,24,29500000,Kathmandu,Koteshwor,26,Blacktopped
4,5,2.5,2,South East,2080.0,2844.95,2,64300000,Kathmandu,Budhanilkantha,20,Blacktopped
6,3,2.5,2,South,2069.0,1882.37,24,32500000,Kathmandu,Basundhara,15,Gravelled
5,6,2.0,3,West,,1711.25,1,43000000,Kathmandu,Budhanilkantha,13,Gravelled
2,1,1.0,1,West,2076.0,1026.75,48,12500000,Lalitpur,Imadol,20,Gravelled
10,3,3.0,2,South,2076.0,1454.56,48,27500000,Kathmandu,Budhanilkantha,13,Blacktopped
8,0,3.0,0,West,,855.62,48,14000000,Kathmandu,Gothatar,13,Gravelled
6,3,3.5,1,South,2077.0,1048.14,36,19000000,Kathmandu,Kadaghari,13,Gravelled
4,5,2.5,1,South West,2076.0,1369.0,48,21000000,Lalitpur,Imadol,20,Gravelled
5,4,2.0,3,East,2078.0,2823.56,1,70000000,Kathmandu,Baneshwor,13,Paved
4,5,2.5,2,South West,2080.0,2438.53,2,58300000,Kathmandu,Budhanilkantha,20,Blacktopped
5,4,3.0,2,South East,2076.0,1796.81,48,32000000,Kathmandu,Budhanilkantha,13,Blacktopped
7,4,2.0,1,South East,2076.0,2395.75,48,50000000,Kathmandu,Mid Baneshwor,10,Concrete
6,4,2.5,1,West,,1155.09,1,25000000,Kathmandu,Sitapaila,13,Gravelled
9,6,5.5,31,North,2075.0,4962.62,48,155000000,Kathmandu,Thulo Bharyang,20,Blacktopped
5,3,2.5,1,East,2076.0,1112.31,48,19500000,Lalitpur,Imadol,20,Gravelled
5,5,4.0,0,East,2070.0,1219.26,36,17000000,Lalitpur,Lubhu,13,Gravelled
4,3,2.5,1,East,,1369.0,10,39500000,Kathmandu,Budhanilkantha,16,Gravelled
4,4,2.5,1,North East,2077.0,1197.87,36,21400000,Lalitpur,Imadol,13,Gravelled
2,1,1.5,1,South,2076.0,1112.31,48,12500000,Lalitpur,Imadol,13,Gravelled
6,4,3.0,1,South,2076.0,1604.29,48,25000000,Kathmandu,Kirtipur,12,Gravelled
18,0,4.0,0,North,,1454.56,48,29000000,Kathmandu,Kapan,32,Gravelled
5,3,3.0,0,West,,1155.09,48,27000000,Lalitpur,Ekantakuna,22,Blacktopped
5,3,2.5,2,East,2076.0,1197.87,48,22000000,Lalitpur,Imadol,20,Gravelled
6,3,2.5,1,South East,2076.0,1026.75,48,16500000,Kathmandu,Goldhunga,10,Gravelled
5,6,3.0,5,North,2074.0,1967.93,48,39500000,Kathmandu,Banasthali,20,Blacktopped
6,4,3.0,8,West,,2224.62,48,35000000,Kathmandu,Dhapasi,32,Blacktopped
6,6,3.0,1,West,2080.0,1326.21,2,37500000,Kathmandu,Thulo Bharyang,11,Concrete
2,1,1.5,1,West,2077.0,1026.75,36,13500000,Lalitpur,Imadol,13,Gravelled
6,3,3.0,2,North,2076.0,1369.0,24,30000000,Kathmandu,Koteshwor,15,Concrete
2,1,1.5,1,East,2076.0,1026.75,48,11000000,Lalitpur,Tikathali,13,Gravelled
4,3,2.5,2,North West,2076.0,1197.87,48,19000000,Lalitpur,Imadol,13,Gravelled
5,3,2.5,1,West,2076.0,1197.87,48,22000000,Lalitpur,Imadol,20,Gravelled
6,3,3.0,1,South West,2076.0,1048.14,36,18500000,Kathmandu,Kageshwari-Manohara,13,Gravelled
7,3,3.0,0,South East,,1540.12,48,24500000,Kathmandu,Tokha,10,Gravelled
11,7,3.5,1,South,,4278.12,1,110000000,Kathmandu,Chabahil,12,Concrete
10,3,3.0,1,South,,1283.43,48,22000000,Lalitpur,Imadol,13,Blacktopped
5,3,2.5,1,South West,2077.0,1197.87,36,25000000,Lalitpur,Imadol,13,Gravelled
6,5,2.5,1,South East,2080.0,2053.5,2,49500000,Kathmandu,Budhanilkantha,13,Concrete
4,3,2.5,1,East,2076.0,1026.75,48,18500000,Lalitpur,Imadol,13,Gravelled
6,5,2.5,1,West,2080.0,1112.31,2,31500000,Kathmandu,Kapan,13,Concrete
6,7,5.0,4,North East,2079.0,2566.87,8,70000000,Kathmandu,Sitapaila,13,Gravelled
