Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Build Up Area,Posted Date,Price,District,Location,Road Distance,Type of Road
6,5,4.0,0,South West,,0-6-1-0 Sq. Feet,N/A Sq. Feet,4 years ago,37500000,Lalitpur,Khumaltar,13 Feet,
4,0,,0,South,,2.5 Aana,N/A Aana,4 years ago,8500000,Kathmandu,Tarkeshwor,10 Feet,
0,0,,0,North,,9 Dhur,N/A Dhur,4 years ago,15000000,Sunsari,Itahari,20 Feet,Blacktopped
0,0,3.0,0,West,,5 Aana,N/A Aana,4 years ago,52500000,Kathmandu,Baneshwor,0 Feet,
3,3,2.5,2,West,2074.0,0-4-0-0 Aana,1744.78 Sq. Feet,2 months ago,34650000,Kathmandu,Sitapaila,20 Feet,Blacktopped
6,5,3.0,2,North,2078.0,0-4-0-0 Aana,2400 Sq. Feet,2 years ago,37500000,Kathmandu,Budhanilkantha,13 Feet,Gravelled
4,4,2.5,2,West,2074.0,0-3-2-0 Aana,1740.76 Aana,2 months ago,34650000,Kathmandu,Sitapaila,20 Feet,Blacktopped
5,0,3.0,0,North East,,4.1.1 Aana,N/A Aana,4 years ago,28500000,Kathmandu,Golfutar,12 Feet,Gravelled
5,5,3.0,2,South,,0-3-0-3 Aana,1091.147 Sq. Feet,2 days ago,31500000,Lalitpur,Imadol,13 Feet,Paved
0,0,3.0,0,West,,4 Aana,N/A Aana,4 years ago,17500000,Kathmandu,Pasikot,16 Feet,
6,4,3.0,1,South West,,0-5-0-0 Aana,N/A Aana,1 month ago,37000000,Kathmandu,Kapan,20 Feet,Blacktopped
6,3,3.0,1,East,2076.0,0-3-2-0 Ropani,2100 Ropani,4 years ago,22500000,Lalitpur,Tikathali,12 Feet,Blacktopped
0,0,,0,East,,0-3-0-0 Aana,N/A Aana,4 years ago,18200000,Kathmandu,Kapan,13 Feet,Blacktopped
5,3,2.5,1,West,2077.0,0-3-0-0 Aana,N/A Aana,3 years ago,20000000,Lalitpur,Imadol,13 Feet,Gravelled
0,0,,0,West,,8 Aana,N/A Aana,4 years ago,25000000,Lalitpur,Lamatar,14 Feet,Gravelled
11,6,3.0,3,North,2019.0,10 Dhur,10 Dhur,4 years ago,23000000,Chitwan,Bharatpur,20 Feet,Blacktopped
4,3,2.5,1,South,2076.0,0-3-0-0 Aana,650 Aana,4 years ago,19000000,Lalitpur,Imadol,13 Feet,Gravelled
5,3,2.5,1,East,2076.0,0-3-0-0 Aana,2000 Aana,4 years ago,16000000,Kathmandu,Tinthana,13 Feet,Blacktopped
4,4,3.0,2,West,2014.0,3.2 Aana,N/A Aana,4 years ago,15000000,Kathmandu,Kapan,0 Feet,
0,0,3.0,0,South,,8 Aana,N/A Aana,4 years ago,51000000,Kathmandu,Mandikatar,15 Feet,Blacktopped
7,3,2.5,2,West,2076.0,0-3-2-2 Aana,3600 Aana,4 years ago,35000000,Kathmandu,Sankhamul,12 Feet,Paved
5,4,2.5,0,East,2080.0,0-4-3-0 Aana,N/A Aana,2 weeks ago,55000000,Kathmandu,Chhauni,10 Feet,Gravelled
3,9,3.0,0,North East,2076.0,0-2-3-0 Aana,N/A Aana,4 years ago,13500000,Lalitpur,Imadol,10 Feet,Soil Stabilized
9,7,5.0,0,North,,0-3-1-1 Aana,N/A Aana,2 years ago,35000000,Kathmandu,Baghbazaar,10 Feet,Blacktopped
6,4,3.5,3,South East,,3.2 Aana,N/A Aana,4 years ago,36000000,Kathmandu,Kadaghari,13 Feet,
7,3,3.0,0,East,,3 Aana,2200 Aana,4 years ago,9000000,Kavre,Panauti,24 Feet,
5,2,3.0,0,West,,3.5 Aana,N/A Aana,4 years ago,22700000,Kathmandu,Thulo Bharyang,12 Feet,Gravelled
0,0,2.0,0,North,,5 Aana,N/A Aana,4 years ago,9500000,Dhading,Dhading,15 Feet,Soil Stabilized
6,5,4.0,3,North East,2079.0,0-5-0-0 Aana,2800 Sq. Feet,1 year ago,43500000,Kathmandu,Budhanilkantha,13 Feet,Blacktopped
4,4,3.0,2,East,2078.0,0-3-2-0 Aana,1800 Aana,2 years ago,22500000,Lalitpur,Imadol,13 Feet,Soil Stabilized
6,5,3.0,3,West,2019.0,0-8-3-3-1 Aana,N/A Aana,3 years ago,57500000,Lalitpur,Nakhipot,20 Feet,Blacktopped
4,4,2.5,1,East,,0-4-0-2 Aana,N/A Aana,1 week ago,39000000,Kathmandu,Budhanilkantha,20 Feet,Blacktopped
5,4,2.5,5,South,,0-15-0-0 Aana,N/A Aana,9 months ago,115000000,Kathmandu,Sanobharyang,20 Feet,Blacktopped
0,0,2.0,0,South East,,4.5 Aana,N/A Aana,4 years ago,27000000,Pokhara,Pokhara,20 Feet,
0,0,2.0,0,East,,3 Aana,N/A Aana,4 years ago,12500000,Lalitpur,Harisiddhi,13 Feet,Gravelled
6,3,3.0,3,South,,4 Aana,N/A Aana,4 years ago,16500000,Kathmandu,Tarkeshwor,12 Feet,
