Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Road Access,Build Up Area,Posted Date,Price,District,Location
3,3,2.5,2,West,2074.0,0-4-0-0 Aana,20 Feet / Blacktopped,1744.78 Sq. Feet,2 months ago,"NPR. 3,46,50,000",Kathmandu,Sitapaila
6,5,3.0,2,North,2078.0,0-4-0-0 Aana,13 Feet / Gravelled,2400 Sq. Feet,2 years ago,"NPR. 3,75,00,000 Total price",Kathmandu,Budhanilkantha
4,4,2.5,2,West,2074.0,0-3-2-0 Aana,20 Feet / Blacktopped,1740.76 Aana,2 months ago,"NPR. 3,46,50,000",Kathmandu,Sitapaila
5,0,3.0,0,North East,,4.1.1 Aana,12 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 2,85,00,000",Kathmandu,Golfutar
5,5,3.0,2,South,,0-3-0-3 Aana,13 Feet / Paved,1091.147 Sq. Feet,2 days ago,"NPR. 3,15,00,000",Lalitpur,Imadol
0,0,3.0,0,West,,4 Aana,16 Feet,N/A Aana,4 years ago,"NPR. 1,75,00,000",Kathmandu,Pasikot
6,4,3.0,1,South West,,0-5-0-0 Aana,20 Feet / Blacktopped,N/A Aana,1 month ago,"NPR. 3,70,00,000 Total Price",Kathmandu,Kapan
6,3,3.0,1,East,2076.0,0-3-2-0 Ropani,12 Feet / Blacktopped,2100 Ropani,4 years ago,"NPR. 2,25,00,000",Lalitpur,Tikathali
0,0,,0,East,,0-3-0-0 Aana,13 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 1,82,00,000 Total price",Kathmandu,Kapan
5,3,2.5,1,West,2077.0,0-3-0-0 Aana,13 Feet / Gravelled,N/A Aana,3 years ago,"NPR. 2,00,00,000 Total price",Lalitpur,Imadol
0,0,,0,West,,8 Aana,14 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 2,50,00,000 Total price",Lalitpur,Lamatar
11,6,3.0,3,North,2019.0,10 Dhur,20 Feet / Blacktopped,10 Dhur,4 years ago,"NPR. 2,30,00,000 Onwards",Chitwan,Bharatpur
4,3,2.5,1,South,2076.0,0-3-0-0 Aana,13 Feet / Gravelled,650 Aana,4 years ago,"NPR. 1,90,00,000 Total price",Lalitpur,Imadol
5,3,2.5,1,East,2076.0,0-3-0-0 Aana,13 Feet / Blacktopped,2000 Aana,4 years ago,"NPR. 1,60,00,000",Kathmandu,Tinthana
4,4,3.0,2,West,2014.0,3.2 Aana,0 Feet,N/A Aana,4 years ago,"NPR. 1,50,00,000",Kathmandu,Kapan
0,0,3.0,0,South,,8 Aana,15 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 5,10,00,000",Kathmandu,Mandikatar
7,3,2.5,2,West,2076.0,0-3-2-2 Aana,12 Feet / Paved,3600 Aana,4 years ago,"NPR. 3,50,00,000 Total price",Kathmandu,Sankhamul
5,4,2.5,0,East,2080.0,0-4-3-0 Aana,10 Feet / Gravelled,N/A Aana,2 weeks ago,"NPR. 5,50,00,000 Total Price",Kathmandu,Chhauni
3,9,3.0,0,North East,2076.0,0-2-3-0 Aana,10 Feet / Soil Stabilized,N/A Aana,4 years ago,"NPR. 1,35,00,000 Total price",Lalitpur,Imadol
9,7,5.0,0,North,,0-3-1-1 Aana,10 Feet / Blacktopped,N/A Aana,2 years ago,"NPR. 3,50,00,000 Total price",Kathmandu,Baghbazaar
6,4,3.5,3,South East,,3.2 Aana,13 Feet,N/A Aana,4 years ago,"NPR. 3,60,00,000",Kathmandu,Kadaghari
7,3,3.0,0,East,,3 Aana,24 Feet,2200 Aana,4 years ago,"NPR. 90,00,000",Kavre,Panauti
5,2,3.0,0,West,,3.5 Aana,12 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 2,27,00,000",Kathmandu,Thulo Bharyang
0,0,2.0,0,North,,5 Aana,15 Feet / Soil Stabilized,N/A Aana,4 years ago,"NPR. 95,00,000 Total price",Dhading,Dhading
6,5,4.0,3,North East,2079.0,0-5-0-0 Aana,13 Feet / Blacktopped,2800 Sq. Feet,1 year ago,"NPR. 4,35,00,000 Total price",Kathmandu,Budhanilkantha
4,4,3.0,2,East,2078.0,0-3-2-0 Aana,13 Feet / Soil Stabilized,1800 Aana,2 years ago,"NPR. 2,25,00,000 Total price",Lalitpur,Imadol
