Address,Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Road Access,Build Up Area,Posted Date,Price
"RAMKOT, Sitapaila, Kathmandu",3,4,2.5,2,West,2074,0-3-2-3 Aana,20 Feet / Blacktopped,1526.19 Aana,2 months ago,"NPR. 3,41,00,000"
"Nearby, Grandy Hospital, Tokha, Kathmandu",5,3,3,0,South,,4 Aana,26 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 2,75,00,000 Total price"
"Nag Pokhari, Nag Pokhari, Kathmandu",4,3,,0,South,,3 Aana,12 Feet,N/A Aana,4 years ago,"NPR. 1,65,00,000"
"Gothatar, Gothatar, Kathmandu",0,0,,0,South,,0-6-3-0 Aana,20 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 3,60,00,000 Total price"
"Kimdol, Swayambhu, Kathmandu",4,2,2,2,South,,3.1 Aana,18 Feet,N/A Aana,4 years ago,"NPR. 2,10,00,000"
"Jyotinagar, Sukedhara, Kathmandu",0,0,,0,North,,0-3-3-0 Aana,13 Feet / Soil Stabilized,N/A Aana,4 years ago,"NPR. 2,40,00,000 Total price"
"Nearby, Talimkendra, Bhaisepati, Lalitpur",5,4,,0,North,,4 Aana,13 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 2,60,00,000 Total price"
"kirtipur, Kirtipur, Kathmandu",0,0,2,0,West,2075,1.5 Aana,12 Feet / Gravelled,N/A Aana,3 years ago,"NPR. 95,00,000"
"Dashrath Marg, Durganagar Colony, Syuchatar, Kathmandu",4,2,2,1,West,,0-5-2-2 Aana,0 Feet,2046.64 Aana,3 years ago,"NPR. 2,55,00,000"
"Basundhara, Basundhara, Kathmandu",0,0,,0,East,,0-3-1-0 Aana,15 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 2,35,00,000"
"Near Hemshospital, Sukedhara, Kathmandu",11,0,,0,North,,5 Aana,13 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 2,98,00,000 Total price"
"Grandy Tower, Tokha, Kathmandu",3,3,6,1,North East,,1380 Sq. Feet,0 Feet,N/A Sq. Feet,3 years ago,"NPR. 1,75,00,000 Total price"
"Budhanilkantha, Budhanilkantha, Kathmandu",4,5,2.5,2,South West,2080,0-8-1-0 Aana,20 Feet / Blacktopped,3755 Sq. Feet,2 months ago,"NPR. 6,76,00,000"
"Mahendra pul, Ranipauwa, Pokhara",7,5,3,3,South East,2074,6.5 Aana,20 Feet / Gravelled,6.5 Aana,4 years ago,"NPR. 3,70,00,000 Onwards"
"Nearby, Police Station, Kalimati, Kathmandu",0,0,,0,South,,0-1-3-0 Aana,9 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 2,50,00,000 Total price"
"Ramkot, Sitapaila, Kathmandu",3,4,3.5,1,North,2078,0-6-1-3 Aana,20 Feet / Paved,2900 Sq. Feet,1 year ago,"NPR. 5,36,00,000 Total Price"
"Near Chappal Factory, Maharajgunj, Kathmandu",0,0,3,0,South East,,3.5 Ropani,13 Feet,N/A Ropani,4 years ago,"NPR. 18,00,00,000"
