Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Build Up Area,Posted Date,Price,District,Location,Road Distance,Type of Road
0,0,,0,East,,0-3-0-0 Aana,N/A Aana,4 years ago,18200000,Kathmandu,Kapan,13,Blacktopped
5,3,2.5,1,West,2077.0,0-3-0-0 Aana,N/A Aana,3 years ago,20000000,Lalitpur,Imadol,13,Gravelled
0,0,,0,West,,8 Aana,N/A Aana,4 years ago,25000000,Lalitpur,Lamatar,14,Gravelled
11,6,3.0,3,North,2019.0,10 Dhur,10 Dhur,4 years ago,23000000,Chitwan,Bharatpur,20,Blacktopped
4,3,2.5,1,South,2076.0,0-3-0-0 Aana,650 Aana,4 years ago,19000000,Lalitpur,Imadol,13,Gravelled
5,3,2.5,1,East,2076.0,0-3-0-0 Aana,2000 Aana,4 years ago,16000000,Kathmandu,Tinthana,13,Blacktopped
4,4,3.0,2,West,2014.0,3.2 Aana,N/A Aana,4 years ago,15000000,Kathmandu,Kapan,0,
0,0,3.0,0,South,,8 Aana,N/A Aana,4 years ago,51000000,Kathmandu,Mandikatar,15,Blacktopped
7,3,2.5,2,West,2076.0,0-3-2-2 Aana,3600 Aana,4 years ago,35000000,Kathmandu,Sankhamul,12,Paved
5,4,2.5,0,East,2080.0,0-4-3-0 Aana,N/A Aana,2 weeks ago,55000000,Kathmandu,Chhauni,10,Gravelled
3,9,3.0,0,North East,2076.0,0-2-3-0 Aana,N/A Aana,4 years ago,13500000,Lalitpur,Imadol,10,Soil Stabilized
9,7,5.0,0,North,,0-3-1-1 Aana,N/A Aana,2 years ago,35000000,Kathmandu,Baghbazaar,10,Blacktopped
6,4,3.5,3,South East,,3.2 Aana,N/A Aana,4 years ago,36000000,Kathmandu,Kadaghari,13,
7,3,3.0,0,East,,3 Aana,2200 Aana,4 years ago,9000000,Kavre,Panauti,24,
5,2,3.0,0,West,,3.5 Aana,N/A Aana,4 years ago,22700000,Kathmandu,Thulo Bharyang,12,Gravelled
0,0,2.0,0,North,,5 Aana,N/A Aana,4 years ago,9500000,Dhading,Dhading,15,Soil Stabilized
6,5,4.0,3,North East,2079.0,0-5-0-0 Aana,2800 Sq. Feet,1 year ago,43500000,Kathmandu,Budhanilkantha,13,Blacktopped
4,4,3.0,2,East,2078.0,0-3-2-0 Aana,1800 Aana,2 years ago,22500000,Lalitpur,Imadol,13,Soil Stabilized
6,5,3.0,3,West,2019.0,0-8-3-3-1 Aana,N/A Aana,3 years ago,57500000,Lalitpur,Nakhipot,20,Blacktopped
4,4,2.5,1,East,,0-4-0-2 Aana,N/A Aana,1 week ago,39000000,Kathmandu,Budhanilkantha,20,Blacktopped
5,4,2.5,5,South,,0-15-0-0 Aana,N/A Aana,9 months ago,115000000,Kathmandu,Sanobharyang,20,Blacktopped
0,0,2.0,0,South East,,4.5 Aana,N/A Aana,4 years ago,27000000,Pokhara,Pokhara,20,
