Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Road Access,Build Up Area,Posted Date,Price,District,Location
3,2,,1,South,2075.0,0-4-1-0 Aana,15 Feet,890 Aana,5 years ago,"NPR. 2,90,00,000",Lalitpur,Bhaisepati
4,3,2.5,1,North East,,0-4-2-3 Aana,20 Feet / Blacktopped,2200 Aana,5 months ago,"NPR. 5,10,00,000 Total Price",Kathmandu,Budhanilkantha
3,3,3.0,1,West,,0-3-1-1 Aana,20 Feet,N/A Aana,11 months ago,"NPR. 2,00,00,000 Onwards",Bhaktapur,Madhyapur Thimi
0,0,,0,East,,0-3-0-0 Aana,0 Feet,N/A Aana,2 years ago,"NPR. 1,15,00,000",Bhaktapur,Duwakot
0,0,,0,West,,0-8-0-0 Aana,13 Feet,N/A Sq. Feet,3 years ago,"NPR. 2,85,00,000",Bhaktapur,Sirutar
6,7,2.0,5,West,,0-4-2-0 Aana,13 Feet / Blacktopped,1540.328 Sq. Feet,2 weeks ago,"NPR. 4,15,00,000 Onwards",Lalitpur,Khumaltar
4,3,3.0,1,South East,2022.0,0-3-0-0 Aana,20 Feet / Blacktopped,1600 Sq. Feet,2 years ago,"NPR. 2,00,00,000",Bhaktapur,Bhaktapur
4,3,3.0,1,South,2080.0,0-3-1-0 Aana,13 Feet / Paved,N/A Aana,1 week ago,"NPR. 2,65,00,000",Lalitpur,Mahalaxmisthan
5,5,2.0,3,East,,0-3-1-2 Aana,13 Feet / Gravelled,1155.300 Sq. Feet,2 weeks ago,"NPR. 3,55,55,555 Onwards",Lalitpur,Imadol
6,6,3.0,1,North,2080.0,0-3-3-0 Aana,13 Feet / Concrete,N/A Aana,2 months ago,"NPR. 2,90,00,000",Lalitpur,Imadol
5,4,3.0,1,East,,0-10-0-1.84 Aana,12 Feet / Concrete,N/A Aana,10 months ago,"NPR. 2,80,00,000 onwards",Bhaktapur,Lokanthali
13,6,4.5,1,North,2067.0,0-4-0-0 Aana,15 Feet / Blacktopped,N/A Aana,3 years ago,"NPR. 3,50,00,000 Total price",Lalitpur,Imadol
0,0,,0,West,2064.0,0-2-2-0 Aana,9 Feet,N/A Sq. Feet,2 years ago,"NPR. 1,50,00,000",Bhaktapur,Sallaghari
5,3,3.0,1,South,,4 Aana,13 Feet,N/A Aana,9 months ago,"NPR. 2,75,00,000 Onwards",Bhaktapur,Suryabinayak
9,5,3.0,3,East,2060.0,0-10-0-0 Aana,13 Feet / Blacktopped,0-6-0-0 Aana,3 years ago,"NPR. 6,25,00,000 Total price",Lalitpur,Manbhawan
5,3,2.5,1,South,2080.0,0-4-3-1.40 Aana,20 Feet / Blacktopped,"2,148.49 Aana",2 months ago,"NPR. 4,03,00,000",Lalitpur,Sunakothi
0,0,,0,North,,6 Aana,20 Feet / Paved,2.3 Aana,3 years ago,"NPR. 2,00,00,000",Bhaktapur,Suryabinayak
5,6,3.0,4,South East,,0-4-0-0 Aana,13 Feet / Paved,1369.181 Sq. Feet,1 week ago,"NPR. 3,95,00,000 Onwards",Lalitpur,Imadol
8,5,4.0,2,South,2078.0,0-4-0-0 Aana,13 Feet / Gravelled,2600 Aana,2 years ago,"NPR. 3,35,00,000 Total price",Lalitpur,Imadol
2,2,2.0,1,West,,0-5-1-0 Aana,4 Feet,0-3-0-0 Aana,1 year ago,"NPR. 1,50,00,000 Onwards",Bhaktapur,Dadikot
5,5,2.5,0,South West,2074.0,13 Aana,20 Feet / Blacktopped,N/A Sq. Feet,3 months ago,"NPR. 9,75,00,000 Total Price",Kathmandu,Sanobharyang
0,0,2.0,2,South West,,5 aana 2 paisa Aana,20 Feet,0 Aana,1 month ago,"NPR. 4,80,00,000 Onwards",Lalitpur,Imadol
5,4,2.0,4,South,,0-3-0-0 Aana,13 Feet / Gravelled,1026.886 Sq. Feet,1 week ago,"NPR. 2,15,00,000 Onwards",Bhaktapur,Bhaktapur
