Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Build Up Area,Posted Date,Price,District,Location,Road Distance,Type of Road
4,4,2.0,2,West,2080.0,4 Aana,00 Aana,3 months ago,35000000,Lalitpur,Bhaisepati,20 Feet,Paved
0,2,2.5,1,North West,2079.0,3 Aana,N/A Sq. Feet,3 months ago,34000000,Kathmandu,Thulo Bharyang,13 Feet,Paved
5,3,2.5,1,South,2080.0,0-5-1-1.20 Aana,"2,148.49 Aana",2 months ago,42700000,Lalitpur,Sunakothi,20 Feet,Blacktopped
0,0,,0,West,,0-4-0-0 Aana,N/A Sq. Feet,3 years ago,17000000,Bhaktapur,Bhaktapur,13 Feet,Gravelled
3,2,2.5,2,South,2070.0,0-3-0-0 Aana,N/A Aana,3 years ago,19000000,Lalitpur,Thaiba,20 Feet,Paved
0,0,,0,East,,0-3-0-0 Aana,N/A Sq. Feet,2 years ago,12000000,Bhaktapur,Bhaktapur,0 Feet,
6,3,3.0,1,East,2068.0,0-5-2-0 Aana,2764.5 Aana,3 years ago,31000000,Lalitpur,Imadol,12 Feet,Blacktopped
6,5,2.0,2,East,,0-4-0-2 Aana,1412.022 Sq. Feet,1 day ago,36500000,Kathmandu,Budhanilkantha,15 Feet,Gravelled
5,5,,1,South East,2080.0,3.5 Aana,3000 Sq. Feet,1 month ago,45000000,Lalitpur,Sano Gaun,16 Feet,
0,0,3.0,2,South West,2080.0,5 aana 1 paisa Aana,0 Aana,1 month ago,55000000,Lalitpur,Imadol,16 Feet,Paved
3,2,,1,South,2075.0,0-4-1-0 Aana,890 Aana,5 years ago,29000000,Lalitpur,Bhaisepati,15 Feet,
4,3,2.5,1,North East,,0-4-2-3 Aana,2200 Aana,5 months ago,51000000,Kathmandu,Budhanilkantha,20 Feet,Blacktopped
3,3,3.0,1,West,,0-3-1-1 Aana,N/A Aana,11 months ago,20000000,Bhaktapur,Madhyapur Thimi,20 Feet,
0,0,,0,East,,0-3-0-0 Aana,N/A Aana,2 years ago,11500000,Bhaktapur,Duwakot,0 Feet,
0,0,,0,West,,0-8-0-0 Aana,N/A Sq. Feet,3 years ago,28500000,Bhaktapur,Sirutar,13 Feet,
6,7,2.0,5,West,,0-4-2-0 Aana,1540.328 Sq. Feet,2 weeks ago,41500000,Lalitpur,Khumaltar,13 Feet,Blacktopped
4,3,3.0,1,South East,2022.0,0-3-0-0 Aana,1600 Sq. Feet,2 years ago,20000000,Bhaktapur,Bhaktapur,20 Feet,Blacktopped
4,3,3.0,1,South,2080.0,0-3-1-0 Aana,N/A Aana,1 week ago,26500000,Lalitpur,Mahalaxmisthan,13 Feet,Paved
5,5,2.0,3,East,,0-3-1-2 Aana,1155.300 Sq. Feet,2 weeks ago,35555555,Lalitpur,Imadol,13 Feet,Gravelled
6,6,3.0,1,North,2080.0,0-3-3-0 Aana,N/A Aana,2 months ago,29000000,Lalitpur,Imadol,13 Feet,Concrete
5,4,3.0,1,East,,0-10-0-1.84 Aana,N/A Aana,10 months ago,28000000,Bhaktapur,Lokanthali,12 Feet,Concrete
13,6,4.5,1,North,2067.0,0-4-0-0 Aana,N/A Aana,3 years ago,35000000,Lalitpur,Imadol,15 Feet,Blacktopped
0,0,,0,West,2064.0,0-2-2-0 Aana,N/A Sq. Feet,2 years ago,15000000,Bhaktapur,Sallaghari,9 Feet,
5,3,3.0,1,South,,4 Aana,N/A Aana,9 months ago,27500000,Bhaktapur,Suryabinayak,13 Feet,
9,5,3.0,3,East,2060.0,0-10-0-0 Aana,0-6-0-0 Aana,3 years ago,62500000,Lalitpur,Manbhawan,13 Feet,Blacktopped
5,3,2.5,1,South,2080.0,0-4-3-1.40 Aana,"2,148.49 Aana",2 months ago,40300000,Lalitpur,Sunakothi,20 Feet,Blacktopped
0,0,,0,North,,6 Aana,2.3 Aana,3 years ago,20000000,Bhaktapur,Suryabinayak,20 Feet,Paved
5,6,3.0,4,South East,,0-4-0-0 Aana,1369.181 Sq. Feet,1 week ago,39500000,Lalitpur,Imadol,13 Feet,Paved
8,5,4.0,2,South,2078.0,0-4-0-0 Aana,2600 Aana,2 years ago,33500000,Lalitpur,Imadol,13 Feet,Gravelled
2,2,2.0,1,West,,0-5-1-0 Aana,0-3-0-0 Aana,1 year ago,15000000,Bhaktapur,Dadikot,4 Feet,
5,5,2.5,0,South West,2074.0,13 Aana,N/A Sq. Feet,3 months ago,97500000,Kathmandu,Sanobharyang,20 Feet,Blacktopped
0,0,2.0,2,South West,,5 aana 2 paisa Aana,0 Aana,1 month ago,48000000,Lalitpur,Imadol,20 Feet,
5,4,2.0,4,South,,0-3-0-0 Aana,1026.886 Sq. Feet,1 week ago,21500000,Bhaktapur,Bhaktapur,13 Feet,Gravelled
5,4,2.5,1,East,2074.0,0-3-2-0 Aana,N/A Aana,3 months ago,33000000,Kathmandu,Swayambhu,13 Feet,Concrete
5,5,3.0,1,South,,0-3-1-0 Aana,N/A Aana,1 week ago,26500000,Lalitpur,Imadol,13 Feet,
14,4,3.0,0,East,,7.1 Aana,N/A Aana,5 years ago,35000000,Bhaktapur,Lokanthali,14 Feet,
0,0,,0,East,,0-3-2-0 Aana,N/A Sq. Feet,2 years ago,14500000,Bhaktapur,Sirutar,12 Feet,
5,4,2.0,4,North,,0-4-0-0 Aana,1369.181 Sq. Feet,1 week ago,35000000,Bhaktapur,Bhaktapur,13 Feet,Gravelled
0,13,5.0,12,South East,2073.0,0-11-0-0 Aana,11000 Sq. Feet,5 years ago,110000000,Kathmandu,Pepsicola,23 Feet,
0,0,2.0,2,South East,2080.0,4 aana 1 paisa 1 dam Aana,0 Aana,1 month ago,42500000,Lalitpur,Dholahiti,16 Feet,Gravelled
4,3,2.5,1,South,2073.0,0-3-0-0 Aana,1003 Aana,3 years ago,20000000,Lalitpur,Sovahity,10 Feet,Concrete
2,3,2.0,2,East,,8 Aana,N/A Aana,6 months ago,43500000,Kathmandu,Kalanki,14 Feet,
9,5,2.0,11,East,2015.0,10-1-0-0 Aana,2000 Sq. Feet,3 years ago,230000001,Lalitpur,Lamatar,14 Feet,Paved
0,0,1.0,0,East,,0-2-3-0 Aana,N/A Sq. Feet,3 years ago,11800000,Bhaktapur,Sipadol,13 Feet,Gravelled
0,0,,0,East,,0-4-0-0 Aana,N/A Sq. Feet,2 years ago,11000000,Bhaktapur,Bhaktapur,10 Feet,
6,6,,1,North East,2080.0,0.4.1.0 Aana,N/A Aana,6 months ago,33000000,Kathmandu,Sitapaila,13 Feet,Paved
0,0,,0,West,,0-3-1-2 Aana,N/A Sq. Feet,3 years ago,15000000,Bhaktapur,Duwakot,12 Feet,
0,0,,0,East,,0-8-0-0 Aana,N/A Aana,3 years ago,28500000,Bhaktapur,Sirutar,13 Feet,
0,0,3.0,2,South,2080.0,3 aana 1 paisa 2 dam Aana,0 Aana,1 month ago,35500000,Lalitpur,Imadol,20 Feet,Gravelled
5,4,2.5,1,West,2080.0,0-3-0-0 Aana,N/A Sq. Feet,2 months ago,28500000,Lalitpur,Imadol,13 Feet,Concrete
0,0,,0,West,,4 Aana,N/A Aana,6 months ago,35000000,Kathmandu,Balambu,14 Feet,
4,0,3.0,2,North East,2080.0,4 aana Aana,0 Aana,1 month ago,35000000,Lalitpur,Bhaisepati,15 Feet,Gravelled
0,0,,0,West,,0-3-0-0 Aana,N/A Aana,3 years ago,11000000,Bhaktapur,Suryabinayak,20 Feet,Gravelled
5,4,2.5,1,South,,0-4-0-1 Aana,N/A Aana,3 months ago,37000000,Kathmandu,Sitapaila,10 Feet,Gravelled
5,3,2.5,1,South,2080.0,0-4-1-1.80 Aana,"1,980.28 Aana",2 months ago,36700000,Lalitpur,Sunakothi,20 Feet,Blacktopped
3,3,2.0,3,East,,0-3-0-0 Aana,1026.886 Sq. Feet,1 week ago,39500000,Lalitpur,Kupondole,18 Feet,Blacktopped
0,0,,0,East,,0-4-0-0 Aana,N/A Sq. Feet,3 years ago,2600000,Bhaktapur,Changunarayan,20 Feet,Gravelled
5,4,2.0,10,East,2065.0,29 Aana,N/A Aana,3 months ago,175000000,Kathmandu,Sitapaila,16 Feet,Blacktopped
0,3,2.0,2,East,,3 aana 3 dam Aana,0 Aana,1 month ago,26000000,Lalitpur,Tikathali,11 Feet,
6,5,,1,South,2080.0,0-3-0-0 Aana,2780 Sq. Feet,2 months ago,28000000,Lalitpur,Imadol,13 Feet,
0,0,,0,West,,0-3-1-0 Aana,N/A Sq. Feet,3 years ago,13000000,Bhaktapur,Suryabinayak,13 Feet,Gravelled
4,3,2.0,1,East,2080.0,2 aana 3 paisa 1 dam Aana,0 Aana,1 month ago,23000000,Lalitpur,Tikathali,13 Feet,Gravelled
8,4,3.0,1,East,2072.0,1710 Sq. Feet,4300 Sq. Feet,1 year ago,39800000,Bhaktapur,Madhyapur Thimi,13 Feet,Paved
2,1,1.0,1,South,,0-3-2-0 Aana,0 Aana,2 months ago,16000000,Lalitpur,Imadol,13 Feet,
4,3,,1,East,2069.0,3.5 Aana,1800 Sq. Feet,1 month ago,32000000,Lalitpur,Bhaisepati,20 Feet,
6,3,3.0,1,South,2080.0,3 Aana,N/A Aana,1 week ago,26000000,Lalitpur,Tikathali,13 Feet,Paved
