Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Posted Date,Price,District,Location,Road Distance,Type of Road
2,1,1.0,3,West,,898.4,1 week ago,14500000,Lalitpur,Imadol,13,Paved
5,3,3.0,1,South East,,1048.14,2 years ago,18000000,Bhaktapur,Changunarayan,13,
0,0,,0,East,,1026.75,3 years ago,17000000,Bhaktapur,Balkot,13,
4,4,2.5,1,South,,1026.75,8 months ago,25500000,Lalitpur,Imadol,13,Paved
3,4,3.0,1,South,,941.18,1 week ago,25000000,Lalitpur,Tikathali,13,Paved
5,6,3.0,4,South,,1283.43,1 week ago,35000000,Lalitpur,Imadol,13,Gravelled
5,3,2.5,1,South,2080.0,3251.37,2 months ago,83500000,Lalitpur,Sunakothi,20,Blacktopped
0,0,,0,East,,1369.0,2 years ago,11500000,Bhaktapur,Sudal,10,
4,4,2.5,1,South,2080.0,941.18,2 months ago,23700000,Lalitpur,Imadol,13,Concrete
0,0,,0,West,,1711.25,2 years ago,28000000,Bhaktapur,Lokanthali,12,
0,0,,0,West,,1197.87,2 years ago,7500000,Bhaktapur,Bhaktapur,20,
3,3,2.0,2,West,2080.0,1026.75,3 months ago,26500000,Lalitpur,Tikathali,13,Paved
5,4,,4,North,,2759.39,2 weeks ago,33500000,Lalitpur,Imadol,13,Paved
5,4,,1,North,,1026.75,2 months ago,32500000,Lalitpur,Imadol,20,
6,2,2.0,0,South,2068.0,941.18,1 year ago,24500000,Kathmandu,Kapan,24,Blacktopped
8,4,4.0,1,West,,1369.0,8 months ago,38000000,Lalitpur,Dhapakhel,20,Soil Stabilized
0,0,2.0,0,North,2072.0,1197.87,4 years ago,15500000,Kathmandu,Gothatar,13,Blacktopped
5,4,,1,East,,1155.09,1 month ago,32000000,Lalitpur,Imadol,13,
5,4,3.0,1,South East,2080.0,1390.39,1 week ago,33500000,Lalitpur,Mahalaxmisthan,13,Blacktopped
5,4,2.0,2,South West,,2395.75,1 day ago,48000000,Kathmandu,Maharajgunj,13,Gravelled
0,0,,0,West,,1197.87,2 years ago,9200000,Bhaktapur,Sudal,12,
0,5,3.0,1,South West,2079.0,1454.56,1 week ago,33000000,Lalitpur,Imadol,10,Gravelled
0,0,2.5,0,East,,1026.75,3 years ago,23000000,Bhaktapur,Sallaghari,20,Blacktopped
5,5,3.0,1,West,,1112.31,1 week ago,39500000,Lalitpur,Harisiddhi,20,Blacktopped
4,4,3.0,2,West,,1369.0,8 months ago,57000000,Lalitpur,Bhaisepati,35,Blacktopped
0,0,,0,North East,,2053.5,3 years ago,5550000,Bhaktapur,Nagarkot,0,
0,0,,0,East,,1197.87,3 years ago,18500000,Bhaktapur,Lokanthali,13,
6,2,3.0,2,North,2066.0,1197.87,3 months ago,19999999,Kathmandu,Dhumbarahi,8,Paved
3,4,2.5,1,East,2073.0,941.18,2 months ago,25000000,Lalitpur,Imadol,13,Concrete
4,4,2.5,1,South East,2080.0,1112.31,2 months ago,26500000,Lalitpur,Imadol,13,Concrete
0,0,,0,North,,1561.51,3 years ago,39900000,Bhaktapur,Kamalbinayak,13,Blacktopped
6,3,3.0,1,East,2075.0,1197.87,3 years ago,19500000,Bhaktapur,Sipadol,10,Gravelled
4,3,3.0,2,South,2071.0,1754.03,4 years ago,39500000,Bhaktapur,Balkot,28,Blacktopped
5,4,3.0,1,South,2081.0,1112.31,2 weeks ago,31500000,Lalitpur,Imadol,0,
7,4,3.5,1,North,2080.0,1026.75,4 days ago,28000000,Lalitpur,Imadol,20,Concrete
7,5,4.0,2,South West,2079.0,1625.68,10 months ago,33000000,Bhaktapur,Dadikot,13,Gravelled
2,1,1.0,1,East,,1155.09,1 week ago,16500000,Lalitpur,Tikathali,0,
4,4,3.0,3,North West,2077.0,1925.15,3 years ago,36500000,Lalitpur,Kusunti,13,Blacktopped
3,2,2.5,0,North,2080.0,1411.78,3 months ago,37500000,Kathmandu,Sanobharyang,20,Gravelled
4,3,2.5,1,East,2075.0,1197.87,1 year ago,26000000,Lalitpur,Imadol,13,Gravelled
5,5,3.0,2,South,2078.0,3336.93,2 years ago,79500000,Lalitpur,Thecho,13,Paved
6,3,3.0,2,East,2073.0,1711.25,2 years ago,28000000,Lalitpur,Dhapakhel,13,Blacktopped
6,5,3.0,2,South,2080.0,1411.78,2 weeks ago,33500000,Lalitpur,Imadol,13,Blacktopped
5,3,2.5,1,West,,855.62,1 week ago,21000000,Lalitpur,Nakkhu,13,Blacktopped
5,4,2.5,2,East,2075.0,1048.14,4 years ago,26000000,Lalitpur,Hattiban,20,Gravelled
0,0,,0,South,,1026.75,2 years ago,8000000,Bhaktapur,Duwakot,13,
