Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Posted Date,Price,District,Location,Road Distance,Type of Road
0,0,2.0,2,South East,2080.0,1475.95,1,42500000,Lalitpur,Dholahiti,16,Gravelled
0,0,3.0,2,South,2080.0,1155.09,1,35500000,Lalitpur,Imadol,20,Gravelled
0,3,2.0,2,East,,1283.43,1,26000000,Lalitpur,Tikathali,11,
0,0,2.0,1,West,2078.0,2310.18,2,45000000,Lalitpur,Harisiddhi,13,Gravelled
0,3,2.0,1,West,2077.0,1112.31,1,20000000,Lalitpur,Lubhu,13,Gravelled
0,4,3.0,2,South,2080.0,1112.31,1,30500000,Lalitpur,Imadol,13,Paved
0,2,3.0,1,North,,1197.87,2,33500000,Lalitpur,Imadol,13,
0,4,3.0,1,North East,,1283.43,1,28500000,Lalitpur,Harisiddhi,13,
0,4,2.0,1,West,2080.0,1112.31,1,31000000,Lalitpur,Imadol,13,Gravelled
0,0,3.0,3,South,,1796.81,1,55000000,Lalitpur,Imadol,13,Paved
0,0,3.0,2,South East,,1240.65,2,31000000,Lalitpur,Imadol,13,
0,0,3.0,2,South,2080.0,1390.39,1,39500000,Lalitpur,Imadol,13,Gravelled
0,0,2.0,2,North,2080.0,1155.09,1,29900000,Lalitpur,Imadol,0,
0,2,,0,East,,855.62,48,13500000,Kathmandu,Bafal,12,
0,3,2.0,1,North East,2072.0,1283.43,1,29000000,Kathmandu,Kapan,13,Gravelled
0,4,3.0,2,South,2080.0,1026.75,1,28000000,Lalitpur,Imadol,13,Gravelled
0,2,2.5,1,North West,2079.0,1026.75,3,34000000,Kathmandu,Thulo Bharyang,13,Paved
0,0,,0,North,,2053.5,36,20000000,Bhaktapur,Suryabinayak,20,Paved
0,0,,0,West,,1369.0,6,35000000,Kathmandu,Balambu,14,
0,3,3.0,2,South,2071.0,1369.0,1,22000000,Lalitpur,Imadol,13,Gravelled
0,3,,1,East,,1711.25,2,31000000,Lalitpur,Bhaisepati,13,Blacktopped
0,4,,2,North,2077.0,1369.0,4,45000000,Kathmandu,Budhanilkantha,0,Blacktopped
0,0,3.0,1,North,,1369.0,2,33000000,Lalitpur,Tikathali,10,Gravelled
0,0,3.0,0,South,,2053.5,48,37500000,Kathmandu,Hattigauda,20,
0,0,4.0,0,North,,2395.75,48,55000000,Kathmandu,Naxal,20,
0,0,,0,West,,1711.25,48,10000000,Lalitpur,Lamatar,12,Soil Stabilized
0,0,2.0,0,West,2075.0,5133.75,36,9500000,Kathmandu,Kirtipur,12,Gravelled
0,0,,0,South,,1369.0,48,10500000,Bhaktapur,Changunarayan,10,Blacktopped
0,0,4.0,0,East,,3080.25,36,57500000,Kathmandu,Chabahil,0,
0,0,3.0,0,West,,1711.25,48,52500000,Kathmandu,Baneshwor,0,
0,0,3.0,0,West,,1369.0,48,17500000,Kathmandu,Pasikot,16,
0,0,,0,West,,2738.0,48,25000000,Lalitpur,Lamatar,14,Gravelled
0,0,3.0,0,South,,2738.0,48,51000000,Kathmandu,Mandikatar,15,Blacktopped
0,0,2.0,0,East,,1026.75,48,12500000,Lalitpur,Harisiddhi,13,Gravelled
0,0,3.0,0,West,,8556.25,36,11000000,Kathmandu,Kapan,12,
0,0,3.0,3,East,,3080.25,48,60000000,Kathmandu,Tokha,13,
0,0,,0,East,,3080.25,48,49500000,Lalitpur,Hattiban,16,Blacktopped
0,0,3.0,0,East,,11978.75,48,26500000,Kathmandu,Basundhara,12,
0,0,,0,South,,2053.5,48,32000000,Kathmandu,Baneshwor,12,Blacktopped
0,0,,0,South,,1369.0,48,20000000,Kathmandu,Jorpati,15,
0,0,3.0,0,South,,1369.0,48,24000000,Kathmandu,Jorpati,15,Blacktopped
0,0,4.0,0,South,,17454.75,48,60000000,Kathmandu,Balkhu,0,
0,0,2.5,0,North,,1369.0,48,42000000,Kathmandu,Sukedhara,20,Blacktopped
0,0,3.0,0,South,,1369.0,48,20500000,Lalitpur,Nakhipot,10,Gravelled
0,4,2.0,2,North,2080.0,1711.25,1,47500000,Kathmandu,Budhanilkantha,0,Blacktopped
0,0,4.0,0,West,,1026.75,48,25000000,Kathmandu,Hadigaun,13,
0,0,1.0,0,East,,11294.25,48,11500000,Lalitpur,Harisiddhi,13,
0,0,3.0,0,West,,14032.25,48,26000000,Kathmandu,Tokha,15,Blacktopped
0,0,,0,South East,,684.5,48,15000000,Kathmandu,Chandol,20,
0,0,3.0,0,East,,28406.75,48,66000000,Kathmandu,Budhanilkantha,40,Blacktopped
0,0,3.0,1,East,,8556.25,48,14000000,Kathmandu,Jorpati,10,
0,0,,0,West,,1026.75,48,14500000,Lalitpur,Sano Gaun,13,Gravelled
0,0,3.5,0,West,,2395.75,48,21500000,Bhaktapur,Changunarayan,15,Gravelled
0,0,,0,West,,1026.75,48,7000000,Kathmandu,Kavresthali,10,Soil Stabilized
0,0,2.0,3,East,2080.0,1711.25,1,47500000,Kathmandu,Budhanilkantha,13,Blacktopped
0,0,,0,South,,3080.25,48,49500000,Kathmandu,Budhanilkantha,15,Blacktopped
0,0,3.0,0,South East,,2053.5,48,30000000,Kathmandu,Lazimpat,10,
0,0,,0,North,,1369.0,48,22500000,Kathmandu,Kadaghari,16,Blacktopped
0,0,3.0,0,East,,2053.5,48,30000000,Kathmandu,Basundhara,12,
0,0,4.0,0,East,,2395.75,48,33000000,Kathmandu,Boudha,20,
0,0,,0,South,,2738.0,48,45000000,Kathmandu,Budhanilkantha,15,Soil Stabilized
0,0,,0,South,,1026.75,48,17500000,Lalitpur,Imadol,13,
0,0,,0,South,,6845.0,48,40000000,Kathmandu,Syuchatar,16,Blacktopped
0,0,,0,South,,1369.0,48,28000000,Kathmandu,Budhanilkantha,15,Gravelled
0,4,3.0,2,West,2079.0,3080.25,1,65000000,Kathmandu,Kapan,13,Gravelled
0,0,4.0,0,South West,,1711.25,48,25500000,Bhaktapur,Lokanthali,10,
0,0,,0,West,,1026.75,48,15000000,Kathmandu,Kapan,13,Blacktopped
0,0,3.0,0,West,,18823.75,48,25000000,Kathmandu,Manamaiju,13,
0,0,3.0,0,West,,131766.25,48,43500000,Kathmandu,Hattisar,20,
0,0,3.0,0,South,2074.0,8556.25,36,21000000,Kathmandu,Grande Villa,16,Gravelled
0,0,,0,West,,1026.75,48,11000000,Kathmandu,Thali,10,Soil Stabilized
0,3,3.0,2,East,2075.0,14032.25,48,23500000,Kathmandu,Budhanilkantha,13,Blacktopped
0,0,,0,South,,342.25,48,4000000,Kathmandu,Kirtipur,10,Blacktopped
0,0,,0,South,,1026.75,48,15000000,Kathmandu,Kirtipur,10,Blacktopped
0,0,,0,South East,,1369.0,48,24500000,Kathmandu,Bhangal,14,
0,0,2.0,0,East,2070.0,1369.0,48,46500000,Lalitpur,Thasikhel,21,Blacktopped
0,0,,0,South,,1369.0,48,22000000,Kathmandu,Balaju,22,Gravelled
0,0,,0,East,2073.0,1026.75,48,15000000,Kathmandu,Kapan,10,Blacktopped
