Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Posted Date,Price,District,Location,Road Distance,Type of Road
0,0,,0,North,,1369.0,48,22500000,Kathmandu,Kadaghari,16,Blacktopped
0,0,,0,South,,2738.0,48,45000000,Kathmandu,Budhanilkantha,15,Soil Stabilized
0,0,,0,South,,1026.75,48,17500000,Lalitpur,Imadol,13,
0,0,,0,South,,6845.0,48,40000000,Kathmandu,Syuchatar,16,Blacktopped
0,0,,0,South,,1369.0,48,28000000,Kathmandu,Budhanilkantha,15,Gravelled
0,0,,0,West,,1026.75,48,15000000,Kathmandu,Kapan,13,Blacktopped
0,0,,0,West,,1026.75,48,11000000,Kathmandu,Thali,10,Soil Stabilized
0,0,,0,South,,342.25,48,4000000,Kathmandu,Kirtipur,10,Blacktopped
0,0,,0,South,,1026.75,48,15000000,Kathmandu,Kirtipur,10,Blacktopped
0,0,,0,South East,,1369.0,48,24500000,Kathmandu,Bhangal,14,
0,0,,0,South,,1369.0,48,22000000,Kathmandu,Balaju,22,Gravelled
0,0,,0,East,2073.0,1026.75,48,15000000,Kathmandu,Kapan,10,Blacktopped
0,0,,0,North,,1369.0,48,27500000,Kathmandu,Sukedhara,13,Gravelled
0,0,,0,West,,1711.25,48,20500000,Kathmandu,Sitapaila,20,Blacktopped
0,0,,0,North,,2738.0,48,38000000,Kathmandu,Chabahil,14,Blacktopped
0,0,,0,North,,3422.5,48,25000000,Kathmandu,Goldhunga,15,
