Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Build Up Area,Posted Date,Price,District,Location,Road Distance,Type of Road
0,0,,0,East,,0-3-0-0 Aana,N/A Sq. Feet,3 years ago,17000000,Bhaktapur,Balkot,13,
4,4,2.5,1,South,,0-3-0-0 Aana,1950 Sq. Feet,8 months ago,25500000,Lalitpur,Imadol,13,Paved
3,4,3.0,1,South,,0-2-3-0 Aana,N/A Aana,1 week ago,25000000,Lalitpur,Tikathali,13,Paved
5,6,3.0,4,South,,0-3-3-0 Aana,1283.607 Sq. Feet,1 week ago,35000000,Lalitpur,Imadol,13,Gravelled
5,3,2.5,1,South,2080.0,0-9-2-0.3 Aana,"4,782.29 Sq. Feet",2 months ago,83500000,Lalitpur,Sunakothi,20,Blacktopped
0,0,,0,East,,0-4-0-0 Aana,N/A Sq. Feet,2 years ago,11500000,Bhaktapur,Sudal,10,
4,4,2.5,1,South,2080.0,0-2-3-0 Aana,N/A Sq. Feet,2 months ago,23700000,Lalitpur,Imadol,13,Concrete
0,0,,0,West,,0-5-0-0 Aana,N/A Sq. Feet,2 years ago,28000000,Bhaktapur,Lokanthali,12,
0,0,,0,West,,0-3-2-0 Aana,N/A Sq. Feet,2 years ago,7500000,Bhaktapur,Bhaktapur,20,
3,3,2.0,2,West,2080.0,0-3-0-0 Aana,000 Aana,3 months ago,26500000,Lalitpur,Tikathali,13,Paved
5,4,,4,North,,0-8-0-1 Aana,2759.782 Sq. Feet,2 weeks ago,33500000,Lalitpur,Imadol,13,Paved
5,4,,1,North,,0-3-0-0 Aana,2400 Aana,2 months ago,32500000,Lalitpur,Imadol,20,
6,2,2.0,0,South,2068.0,0-2-3-0 Aana,1800 Sq. Feet,1 year ago,24500000,Kathmandu,Kapan,24,Blacktopped
8,4,4.0,1,West,,0-4-0-0 Aana,N/A Aana,8 months ago,38000000,Lalitpur,Dhapakhel,20,Soil Stabilized
0,0,2.0,0,North,2015.0,0-3-2-0 Aana,0-3-2-0 Aana,4 years ago,15500000,Kathmandu,Gothatar,13,Blacktopped
5,4,,1,East,,0-3-1-2 Aana,2450 Sq. Feet,1 month ago,32000000,Lalitpur,Imadol,13,
5,4,3.0,1,South East,2080.0,0-4-0-1 Aana,N/A Aana,1 week ago,33500000,Lalitpur,Mahalaxmisthan,13,Blacktopped
5,4,2.0,2,South West,,0-7-0-0 Aana,2396.066 Sq. Feet,1 day ago,48000000,Kathmandu,Maharajgunj,13,Gravelled
0,0,,0,West,,0-3-2-0 Aana,N/A Sq. Feet,2 years ago,9200000,Bhaktapur,Sudal,12,
0,5,3.0,1,South West,2079.0,0-4-1-0 Aana,N/A Aana,1 week ago,33000000,Lalitpur,Imadol,10,Gravelled
0,0,2.5,0,East,,0-3-0-0 Aana,N/A Sq. Feet,3 years ago,23000000,Bhaktapur,Sallaghari,20,Blacktopped
5,5,3.0,1,West,,0-3-1-0 Aana,N/A Aana,1 week ago,39500000,Lalitpur,Harisiddhi,20,Blacktopped
4,4,3.0,2,West,,0-4-0-0 Aana,N/A Aana,8 months ago,57000000,Lalitpur,Bhaisepati,35,Blacktopped
0,0,,0,North East,,0-6-0-0 Aana,N/A Sq. Feet,3 years ago,5550000,Bhaktapur,Nagarkot,0,
0,0,,0,East,,0-3-2-0 Aana,N/A Aana,3 years ago,18500000,Bhaktapur,Lokanthali,13,
6,2,3.0,2,North,2009.0,0-3-2-0 Aana,0-2-3-0 Aana,3 months ago,19999999,Kathmandu,Dhumbarahi,8,Paved
3,4,2.5,1,East,2073.0,0-2-3-0 Aana,N/A Aana,2 months ago,25000000,Lalitpur,Imadol,13,Concrete
4,4,2.5,1,South East,2080.0,0-3-1-0 Aana,N/A Sq. Feet,2 months ago,26500000,Lalitpur,Imadol,13,Concrete
0,0,,0,North,,0-4-2-1.5 Aana,N/A Sq. Feet,3 years ago,39900000,Bhaktapur,Kamalbinayak,13,Blacktopped
6,3,3.0,1,East,2075.0,0-3-2-0 Aana,2150 Aana,3 years ago,19500000,Bhaktapur,Sipadol,10,Gravelled
4,3,3.0,2,South,2071.0,0-5-0-2 Aana,2390.65 Aana,4 years ago,39500000,Bhaktapur,Balkot,28,Blacktopped
5,4,3.0,1,South,2024.0,0-3-1-0 Aana,N/A Aana,2 weeks ago,31500000,Lalitpur,Imadol,0,
7,4,3.5,1,North,2080.0,0-3-0-0 Aana,N/A Sq. Feet,4 days ago,28000000,Lalitpur,Imadol,20,Concrete
7,5,4.0,2,South West,2079.0,0-4-3-0 Aana,0-2-3-2} Aana,10 months ago,33000000,Bhaktapur,Dadikot,13,Gravelled
2,1,1.0,1,East,,0-3-1-2 Aana,N/A Aana,1 week ago,16500000,Lalitpur,Tikathali,0,
4,4,3.0,3,North West,2020.0,0-5-2-2 Aana,2200 Aana,3 years ago,36500000,Lalitpur,Kusunti,13,Blacktopped
3,2,2.5,0,North,2080.0,0-4-0-2 Aana,N/A Aana,3 months ago,37500000,Kathmandu,Sanobharyang,20,Gravelled
4,3,2.5,1,East,2075.0,0-3-2-0 Aana,2000 Aana,1 year ago,26000000,Lalitpur,Imadol,13,Gravelled
5,5,3.0,2,South,2078.0,0-9-3-0 Aana,4200 Aana,2 years ago,79500000,Lalitpur,Thecho,13,Paved
6,3,3.0,2,East,2073.0,0-5-0-0 Aana,2300 Aana,2 years ago,28000000,Lalitpur,Dhapakhel,13,Blacktopped
6,5,3.0,2,South,2080.0,0-4-0-2 Aana,N/A Aana,2 weeks ago,33500000,Lalitpur,Imadol,13,Blacktopped
5,3,2.5,1,West,,0-2-2-0 Aana,2000 Aana,1 week ago,21000000,Lalitpur,Nakkhu,13,Blacktopped
5,4,2.5,2,East,2075.0,0-3-0-1 Aana,2200 Aana,4 years ago,26000000,Lalitpur,Hattiban,20,Gravelled
0,0,,0,South,,0-3-0-0 Aana,N/A Sq. Feet,2 years ago,8000000,Bhaktapur,Duwakot,13,
7,5,2.0,2,South East,2080.0,0-4-1-1 Aana,2500 Aana,1 week ago,41500000,Lalitpur,Nakhipot,16,
12,3,3.0,0,East,,0-4-0-0 Aana,N/A Sq. Feet,3 years ago,28500000,Bhaktapur,Suryabinayak,13,Blacktopped
3,4,3.0,1,South West,2022.0,0-4-1-1 Aana,0-3-0-0 Aana,3 months ago,35000000,Kathmandu,Thali,20,Gravelled
4,4,2.0,4,South East,,0-5-2-0 Aana,1882.624 Sq. Feet,1 day ago,55000000,Kathmandu,Chundevi,12,Blacktopped
5,3,3.0,1,North East,2076.0,0-4-0-0 Aana,2200 Sq. Feet,2 years ago,20000000,Bhaktapur,Duwakot,33,Blacktopped
0,0,,0,East,,0-3-0-0 Aana,N/A Sq. Feet,2 years ago,1800000,Bhaktapur,Bhaktapur,0,
4,2,3.0,2,West,2077.0,0-5-0-0 Aana,2500 Sq. Feet,1 year ago,27500000,Lalitpur,Lubhu,13,Gravelled
4,4,2.5,1,East,,0-4-3-0 Aana,N/A Sq. Feet,6 months ago,52000000,Kathmandu,Baluwatar,14,Blacktopped
2,1,1.5,1,East,2077.0,0-3-0-0 Aana,N/A Aana,3 years ago,12500000,Lalitpur,Imadol,13,Gravelled
