Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Build Up Area,Posted Date,Price,District,Location,Road Distance,Type of Road
5,4,3.0,1,East,,3443.89,N/A Aana,10 months ago,28000000,Bhaktapur,Lokanthali,12,Concrete
13,6,4.5,1,North,2067.0,1369.0,N/A Aana,3 years ago,35000000,Lalitpur,Imadol,15,Blacktopped
0,0,,0,West,2064.0,855.62,N/A Sq. Feet,2 years ago,15000000,Bhaktapur,Sallaghari,9,
9,5,3.0,3,East,2060.0,3422.5,0-6-0-0 Aana,3 years ago,62500000,Lalitpur,Manbhawan,13,Blacktopped
5,3,2.5,1,South,2080.0,1647.0700000000002,"2,148.49 Aana",2 months ago,40300000,Lalitpur,Sunakothi,20,Blacktopped
5,6,3.0,4,South East,,1369.0,1369.181 Sq. Feet,1 week ago,39500000,Lalitpur,Imadol,13,Paved
8,5,4.0,2,South,2078.0,1369.0,2600 Aana,2 years ago,33500000,Lalitpur,Imadol,13,Gravelled
2,2,2.0,1,West,,1796.81,0-3-0-0 Aana,1 year ago,15000000,Bhaktapur,Dadikot,4,
5,4,2.0,4,South,,1026.75,1026.886 Sq. Feet,1 week ago,21500000,Bhaktapur,Bhaktapur,13,Gravelled
5,4,2.5,1,East,2074.0,1197.87,N/A Aana,3 months ago,33000000,Kathmandu,Swayambhu,13,Concrete
5,5,3.0,1,South,,1112.31,N/A Aana,1 week ago,26500000,Lalitpur,Imadol,13,
0,0,,0,East,,1197.87,N/A Sq. Feet,2 years ago,14500000,Bhaktapur,Sirutar,12,
5,4,2.0,4,North,,1369.0,1369.181 Sq. Feet,1 week ago,35000000,Bhaktapur,Bhaktapur,13,Gravelled
0,13,5.0,12,South East,2073.0,3764.75,11000 Sq. Feet,5 years ago,110000000,Kathmandu,Pepsicola,23,
4,3,2.5,1,South,2073.0,1026.75,1003 Aana,3 years ago,20000000,Lalitpur,Sovahity,10,Concrete
9,5,2.0,11,East,2015.0,55102.25,2000 Sq. Feet,3 years ago,230000001,Lalitpur,Lamatar,14,Paved
0,0,1.0,0,East,,941.1800000000001,N/A Sq. Feet,3 years ago,11800000,Bhaktapur,Sipadol,13,Gravelled
0,0,,0,East,,1369.0,N/A Sq. Feet,2 years ago,11000000,Bhaktapur,Bhaktapur,10,
0,0,,0,West,,1155.09,N/A Sq. Feet,3 years ago,15000000,Bhaktapur,Duwakot,12,
0,0,,0,East,,2738.0,N/A Aana,3 years ago,28500000,Bhaktapur,Sirutar,13,
5,4,2.5,1,West,2080.0,1026.75,N/A Sq. Feet,2 months ago,28500000,Lalitpur,Imadol,13,Concrete
0,0,,0,West,,1026.75,N/A Aana,3 years ago,11000000,Bhaktapur,Suryabinayak,20,Gravelled
5,4,2.5,1,South,,1390.39,N/A Aana,3 months ago,37000000,Kathmandu,Sitapaila,10,Gravelled
5,3,2.5,1,South,2080.0,1475.95,"1,980.28 Aana",2 months ago,36700000,Lalitpur,Sunakothi,20,Blacktopped
3,3,2.0,3,East,,1026.75,1026.886 Sq. Feet,1 week ago,39500000,Lalitpur,Kupondole,18,Blacktopped
0,0,,0,East,,1369.0,N/A Sq. Feet,3 years ago,2600000,Bhaktapur,Changunarayan,20,Gravelled
6,5,,1,South,2080.0,1026.75,2780 Sq. Feet,2 months ago,28000000,Lalitpur,Imadol,13,
0,0,,0,West,,1112.31,N/A Sq. Feet,3 years ago,13000000,Bhaktapur,Suryabinayak,13,Gravelled
2,1,1.0,1,South,,1197.87,0 Aana,2 months ago,16000000,Lalitpur,Imadol,13,
7,3,3.0,1,East,2076.0,1197.87,2100 Sq. Feet,4 years ago,22500000,Bhaktapur,Sipadol,10,Gravelled
0,0,,0,East,,1540.12,N/A Sq. Feet,2 years ago,10000000,Bhaktapur,Suryabinayak,0,
4,3,,1,North East,2074.0,1369.0,2200 Aana,2 months ago,36500000,Lalitpur,Bhaisepati,13,
4,4,3.0,1,North,2078.0,1026.75,2250 Aana,2 years ago,23500000,Lalitpur,Imadol,13,Gravelled
5,4,3.0,1,South,2080.0,1112.31,N/A Aana,2 months ago,29900000,Lalitpur,Imadol,13,Concrete
0,0,,0,East,,1026.75,N/A Sq. Feet,2 years ago,11500000,Bhaktapur,Duwakot,12,
6,5,2.0,3,South East,,1454.56,1454.755 Sq. Feet,1 day ago,38500000,Kathmandu,Budhanilkantha,18,Gravelled
4,4,,1,North,2080.0,1411.78,N/A Sq. Feet,3 months ago,37500000,Kathmandu,Sano Bharyang,20,Gravelled
7,4,2.5,1,South,,1112.31,N/A Sq. Feet,3 months ago,27000000,Lalitpur,Imadol,20,Gravelled
7,3,3.0,1,North West,2069.0,1326.21,N/A Aana,8 months ago,21500000,Bhaktapur,Suryabinayak,11,Blacktopped
6,6,3.5,1,North East,2080.0,1197.87,N/A Sq. Feet,4 days ago,29500000,Lalitpur,Imadol,13,Concrete
5,9,2.0,4,East,,2395.75,3500 Sq. Feet,3 years ago,70000000,Bhaktapur,Balkot,14,
