Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Build Up Area,Posted Date,Price,District,Location,Road Distance,Type of Road
0,3,,1,East,,5 Aana,N/A Aana,2 months ago,31000000,Lalitpur,Bhaisepati,13,Blacktopped
3,4,3.0,1,South West,2016.0,3 Aana,2400 Sq. Feet,3 months ago,19900000,Kathmandu,Gokarneshwor,13,Blacktopped
6,4,,1,East,2079.0,0-3.5-0-0 Aana,2248 Sq. Feet,1 week ago,30500000,Lalitpur,Imadol,13,Blacktopped
0,4,3.0,2,South,2080.0,3 aana 1 paisa Aana,0 Aana,1 month ago,30500000,Lalitpur,Imadol,13,Paved
0,4,,2,North,2020.0,4 Aana,3.75 Aana,4 months ago,45000000,Kathmandu,Budhanilkantha,0,Blacktopped
0,2,3.0,1,North,,3 anna 2 paisa Aana,0 Aana,2 months ago,33500000,Lalitpur,Imadol,13,
5,3,3.0,1,East,2076.0,4 Aana,4 Aana,5 months ago,30000000,Kathmandu,Gothatar,20,Blacktopped
6,5,2.0,2,East,2080.0,4 anna 2 dam Aana,000 Aana,3 months ago,35000000,Kathmandu,Budhanilkantha,13,Paved
5,3,2.0,2,South,2078.0,3 Aana,000 Aana,3 months ago,25000000,Lalitpur,Imadol,13,Gravelled
3,1,2.0,2,West,2080.0,3 Aana,N/A Aana,6 months ago,12500000,Kathmandu,Chandragiri,14,Paved
5,7,3.0,2,East,2076.0,22 Aana,9 Aana,3 years ago,140000000,Bhaktapur,Bode,20,Gravelled
0,4,3.0,1,North East,,3 aana 3 paisa Aana,0 Aana,1 month ago,28500000,Lalitpur,Harisiddhi,13,
0,4,2.0,1,West,2080.0,3aana 1paisa Aana,0 Aana,1 month ago,31000000,Lalitpur,Imadol,13,Gravelled
4,4,2.0,1,East,2080.0,2 aana 3 paisa 2 dam Aana,0 Aana,1 month ago,23000000,Lalitpur,Imadol,13,Gravelled
5,5,2.5,2,North,,9 Aana,N/A Aana,1 year ago,52500000,Bhaktapur,Balkot,26,Paved
0,4,2.0,2,South East,2080.0,4 aana Aana,0 Aana,4 weeks ago,31500000,Lalitpur,Satdobato,0,
6,6,,2,South East,,6 Aana,4200 Aana,1 month ago,55000000,Lalitpur,Bhaisepati,26,
0,0,3.0,3,South,,5 aana 1 paisa Aana,0 Aana,1 month ago,55000000,Lalitpur,Imadol,13,Paved
2,1,1.0,2,North West,2077.0,3 aana 2 paisa Aana,0 Aana,2 months ago,17000000,Lalitpur,Lubhu,20,
0,4,3.0,2,South,2080.0,4 aana Aana,0 Aana,1 month ago,33500000,Lalitpur,Imadol,13,Gravelled
0,0,3.0,1,North,,4 Aana,2 Paisa,2 months ago,33000000,Lalitpur,Tikathali,10,Gravelled
4,2,3.0,10,South East,,29 Aana,N/A Aana,6 months ago,175000000,Kathmandu,Sitapaila,16,
0,0,3.0,2,South East,,3 anna 2 paisa 2 dam Aana,0 Aana,2 months ago,31000000,Lalitpur,Imadol,13,
0,0,3.0,2,South,2080.0,4 aana 1.5 dam Aana,0 Aana,1 month ago,39500000,Lalitpur,Imadol,13,Gravelled
0,0,2.0,2,North,2080.0,3 aana 1 paisa 2 dam Aana,0 Aana,1 month ago,29900000,Lalitpur,Imadol,0,
8,4,4.0,1,West,2075.0,5 Aana,1700 Aana,2 years ago,29900000,Kathmandu,Goldhunga,10,Gravelled
11,3,3.0,0,North,,4 Aana,N/A Aana,4 years ago,24000000,Kathmandu,Nepaltar,13,Blacktopped
10,6,3.0,4,East,,3.2 Aana,N/A Aana,4 years ago,24000000,Kathmandu,Pepsicola,13,
0,0,3.0,0,South,,6 Aana,N/A Aana,4 years ago,37500000,Kathmandu,Hattigauda,20,
9,0,3.0,0,South East,,3.5 Aana,N/A Aana,4 years ago,19800000,Kathmandu,Basundhara,12,Gravelled
4,4,3.0,2,North East,2019.0,5 Aana,N/A Aana,4 years ago,30500000,Kathmandu,Budhanilkantha,15,Blacktopped
7,6,,0,South West,,14 Aana,N/A Aana,4 years ago,72500000,Kathmandu,Basundhara,20,
9,4,4.0,0,East,,6.3 Aana,N/A Aana,4 years ago,34500000,Kathmandu,Sukedhara,12,
0,0,4.0,0,North,,7 Aana,N/A Aana,4 years ago,55000000,Kathmandu,Naxal,20,
9,4,3.0,3,South,,3 Aana,N/A Aana,4 years ago,22500000,Kathmandu,Samakhusi,13,Blacktopped
0,0,,0,West,,5 Aana,N/A Aana,4 years ago,10000000,Lalitpur,Lamatar,12,Soil Stabilized
5,3,3.0,0,South,,4 Aana,N/A Aana,4 years ago,27500000,Kathmandu,Tokha,26,Gravelled
4,3,,0,South,,3 Aana,N/A Aana,4 years ago,16500000,Kathmandu,Nag Pokhari,12,
4,2,2.0,2,South,,3.1 Aana,N/A Aana,4 years ago,21000000,Kathmandu,Swayambhu,18,
5,4,,0,North,,4 Aana,N/A Aana,4 years ago,26000000,Lalitpur,Bhaisepati,13,Blacktopped
0,0,2.0,0,West,2075.0,1.5 Aana,N/A Aana,3 years ago,9500000,Kathmandu,Kirtipur,12,Gravelled
11,0,,0,North,,5 Aana,N/A Aana,4 years ago,29800000,Kathmandu,Sukedhara,13,Blacktopped
7,5,3.0,3,South East,2074.0,6.5 Aana,6.5 Aana,4 years ago,37000000,Pokhara,Ranipauwa,20,Gravelled
5,3,3.0,1,East,,4 Aana,4 Aana,4 years ago,22500000,Kathmandu,Naikap,13,
11,0,3.0,0,South,,6 Aana,N/A Ropani,4 years ago,45000000,Kathmandu,Basundhara,14,
0,3,3.0,4,East,2080.0,4.1 aana Aana,4.1 Aana,3 weeks ago,42500000,Kathmandu,Budhanilkantha,20,Blacktopped
4,0,,2,South,2018.0,7-0-2 Aana,N/A Aana,4 years ago,45000000,Kathmandu,Basbari,20,Paved
11,0,4.0,2,North,2001.0,5 ana Aana,4ana Aana,4 years ago,30000000,Kathmandu,Samakhusi,13,Blacktopped
3,4,3.0,1,East,2015.0,0.3.3.3 Aana,18000 Aana,4 years ago,33000000,Kathmandu,Budhanilkantha,20,Blacktopped
0,0,,0,South,,4 Aana,N/A Aana,4 years ago,10500000,Bhaktapur,Changunarayan,10,Blacktopped
0,0,4.0,0,East,,9 Aana,N/A Aana,3 years ago,57500000,Kathmandu,Chabahil,0,
4,0,,0,South,,2.5 Aana,N/A Aana,4 years ago,8500000,Kathmandu,Tarkeshwor,10,
0,0,3.0,0,West,,5 Aana,N/A Aana,4 years ago,52500000,Kathmandu,Baneshwor,0,
5,0,3.0,0,North East,,4.1.1 Aana,N/A Aana,4 years ago,28500000,Kathmandu,Golfutar,12,Gravelled
0,0,3.0,0,West,,4 Aana,N/A Aana,4 years ago,17500000,Kathmandu,Pasikot,16,
0,0,,0,West,,8 Aana,N/A Aana,4 years ago,25000000,Lalitpur,Lamatar,14,Gravelled
4,4,3.0,2,West,2014.0,3.2 Aana,N/A Aana,4 years ago,15000000,Kathmandu,Kapan,0,
0,0,3.0,0,South,,8 Aana,N/A Aana,4 years ago,51000000,Kathmandu,Mandikatar,15,Blacktopped
6,4,3.5,3,South East,,3.2 Aana,N/A Aana,4 years ago,36000000,Kathmandu,Kadaghari,13,
7,3,3.0,0,East,,3 Aana,2200 Aana,4 years ago,9000000,Kavre,Panauti,24,
5,2,3.0,0,West,,3.5 Aana,N/A Aana,4 years ago,22700000,Kathmandu,Thulo Bharyang,12,Gravelled
0,0,2.0,0,North,,5 Aana,N/A Aana,4 years ago,9500000,Dhading,Dhading,15,Soil Stabilized
0,0,2.0,0,South East,,4.5 Aana,N/A Aana,4 years ago,27000000,Pokhara,Pokhara,20,
0,0,2.0,0,East,,3 Aana,N/A Aana,4 years ago,12500000,Lalitpur,Harisiddhi,13,Gravelled
6,3,3.0,3,South,,4 Aana,N/A Aana,4 years ago,16500000,Kathmandu,Tarkeshwor,12,
0,0,3.0,0,West,,2.5 Aana,67.30 Aana,3 years ago,11000000,Kathmandu,Kapan,12,
12,0,4.0,4,East,,7 Aana,N/A Aana,4 years ago,40000000,Kathmandu,Dhumbarahi,13,
8,3,4.0,1,South West,,4 Aana,N/A Aana,4 years ago,31000000,Kathmandu,Chundevi,14,Gravelled
6,3,3.0,2,East,2019.0,5 Aana,4 Aana,4 years ago,27800000,Kathmandu,Mandikatar,13,Gravelled
10,0,3.0,3,West,,6 Aana,N/A Aana,4 years ago,29800000,Kathmandu,Budhanilkantha,13,
10,6,5.0,4,West,,4.2 Aana,N/A Aana,4 years ago,30000000,Kathmandu,Gongabu,10,
